social_security_number,admit,major
268290090,1,biology
802973148,0,biology
546322129,0,biology
928596347,0,biology
305898058,1,chemistry
723342526,0,chemistry
517675282,0,biology
666485522,1,chemistry
271476565,0,biology
748435362,0,chemistry
417795363,1,chemistry
881549341,1,chemistry
235521858,1,biology
709833225,1,biology
367021143,0,biology
601061362,0,biology
214054606,0,biology
803974587,0,biology
424929734,0,biology
964131942,1,chemistry
599580539,0,chemistry
768805651,1,biology
550804794,1,biology
639898010,1,biology
445195286,1,biology
