social_security_number,honor_roll,applied,admitted,graduated
426342098,0,1,1,1
183766324,0,0,0,0
565504301,1,1,0,1
405412441,1,0,0,1
481695811,1,1,0,1
423708763,1,0,0,1
165886582,0,1,1,1
360391768,0,0,0,1
498031972,0,1,0,1
443214796,0,0,0,0
422291370,0,1,1,1
262177595,1,0,0,1
190493915,0,1,1,1
402324274,0,0,0,1
478150802,0,1,1,1
438082586,0,0,0,0
231645534,1,1,1,1
449333512,0,0,0,0
352157318,0,1,1,1
528629656,1,0,0,1
368704020,0,1,1,1
375292901,1,0,0,1
454041486,0,1,0,1
389096402,0,0,0,1
183213607,0,1,0,1
